,Well,Fluor,Target,Content,Sample,Biological Set Name,Cq,Cq Mean,Cq Std. Dev,Starting Quantity (SQ),Log Starting Quantity,SQ Mean,SQ Std. Dev,Set Point,Well Note
,M14,SYBR,,Unkn,,,26.02,26.02,0.000,,,,0.00000,72.0,
,M15,SYBR,,Unkn,,,26.04,26.04,0.000,,,,0.00000,72.0,
,M16,SYBR,,Unkn,,,26.37,26.37,0.000,,,,0.00000,72.0,
,M17,SYBR,,Unkn,,,26.32,26.32,0.000,,,,0.00000,72.0,
,M18,SYBR,,Unkn,,,25.77,25.77,0.000,,,,0.00000,72.0,
,M19,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,72.0,
,M20,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,72.0,
,M21,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,72.0,
,M22,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,72.0,
,M23,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,72.0,
,M24,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,72.0,
,N01,SYBR,,Unkn,,,24.87,24.87,0.000,,,,0.00000,72.0,
,N02,SYBR,,Unkn,,,24.68,24.68,0.000,,,,0.00000,72.0,
,N03,SYBR,,Unkn,,,23.16,23.16,0.000,,,,0.00000,72.0,
,N04,SYBR,,Unkn,,,23.80,23.80,0.000,,,,0.00000,72.0,
,N05,SYBR,,Unkn,,,23.58,23.58,0.000,,,,0.00000,72.0,
,N06,SYBR,,Unkn,,,24.01,24.01,0.000,,,,0.00000,72.0,
,N07,SYBR,,Unkn,,,24.82,24.82,0.000,,,,0.00000,72.0,
,N08,SYBR,,Unkn,,,23.47,23.47,0.000,,,,0.00000,72.0,
,N09,SYBR,,Unkn,,,23.57,23.57,0.000,,,,0.00000,72.0,
,N10,SYBR,,Unkn,,,23.52,23.52,0.000,,,,0.00000,72.0,
